date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
193109,-0.49473,-0.30714600000000003,-0.28407699999999997,-0.34978200000000004,-0.32337400000000005,-0.26866,-0.28942599999999996,-0.351961,-0.314326,-0.37953899999999996,-0.27476500000000004,-0.327129,-0.315091,-0.350475,-0.340269,-0.297962,-0.25232,-0.307527,-0.33862200000000003,-0.414557,-0.284528,-0.252045,-0.32183799999999996,-0.33427799999999996,-0.45555599999999996
193110,0.126793,-0.030004,0.005496,0.114644,0.070921,0.070717,0.040998,0.08818,0.085119,0.144195,-0.009382,0.159578,0.110571,0.116957,0.0666,0.078956,0.06256199999999999,0.131131,0.111792,0.13131,0.093778,0.07029099999999999,0.013419,0.039465,0.204082
193111,-0.239803,-0.212926,-0.09579599999999999,-0.103973,-0.11612,-0.128176,-0.070964,-0.078421,-0.050246000000000006,-0.110029,-0.017785,-0.09535199999999999,-0.051555,-0.110221,-0.10653399999999999,-0.059432,-0.038149,-0.115206,-0.158993,-0.114839,-0.058822,-0.111869,-0.200412,-0.216372,-0.067797
193112,-0.253044,-0.037172000000000004,-0.19424600000000003,-0.271776,-0.25008400000000003,-0.08948600000000001,-0.128013,-0.144234,-0.214811,-0.240915,-0.144505,-0.18205400000000002,-0.175802,-0.149249,-0.157172,-0.10983499999999999,-0.142392,-0.11628,-0.19027000000000002,-0.257755,-0.10599700000000001,-0.16659500000000002,-0.217943,-0.23053,-0.309091
193201,0.055527,-0.060722,0.083063,0.14174699999999998,0.075377,-0.002843,-0.010825,0.054797000000000005,0.17797000000000002,0.183229,-0.015632,0.032629,0.027489,-0.017061,0.05514,-0.034216,-0.0051329999999999995,-0.006076000000000001,0.04829,0.019409,-0.037002,-0.013426,0.025113,0.109191,0.078947
193202,-0.127896,-0.000154,0.05881,-0.019977,0.042459,-0.044521,0.029972,-0.023381,-0.031376,-0.011255999999999999,-0.009172,0.032184,0.023819,0.002285,-0.014858,0.033567,0.052981,-0.015117,0.003144,0.037601,0.07266600000000001,0.055879000000000005,0.033369,-0.033170000000000005,0.146341
193203,-0.230216,-0.056045,-0.032485,-0.11534900000000001,-0.11590600000000001,-0.059005999999999996,-0.142789,-0.114642,-0.041811999999999995,-0.133107,-0.074966,-0.118346,-0.115882,-0.13425399999999998,-0.116459,-0.106326,-0.101897,-0.12310600000000001,-0.121285,-0.101478,-0.11066100000000001,-0.105581,-0.138548,-0.23298100000000002,0.021277
193204,-0.40762,-0.168293,-0.268747,-0.17956,-0.204168,-0.200302,-0.086236,-0.145173,-0.18735600000000002,-0.14349299999999998,-0.182198,-0.09344799999999999,-0.154337,-0.16405799999999998,-0.19179200000000002,-0.1547,-0.155936,-0.191359,-0.14587899999999998,-0.09625600000000001,-0.181954,-0.207651,-0.1815,-0.221641,-0.22916699999999998
193205,-0.128641,-0.352372,-0.058922,-0.043113,-0.097154,-0.119878,-0.18589200000000003,-0.220395,-0.18971,-0.21707200000000001,-0.263212,-0.24713100000000002,-0.267057,-0.24085499999999999,-0.271979,-0.19733799999999999,-0.201828,-0.202454,-0.189667,-0.279405,-0.205131,-0.171268,-0.31172,-0.367136,-0.10810800000000001
193206,0.357939,-0.16994800000000002,0.053018,-0.06324099999999999,-0.007980000000000001,-0.08601,-0.050061999999999995,-0.054346,0.124076,0.085754,0.068535,0.07177399999999999,0.072506,0.052154,-0.0015170000000000001,0.018343,0.032764,-0.019316,0.093432,0.004792,-0.032168,-0.003613,0.050054,0.090103,0.212121
193207,1.478401,0.143231,0.41727,0.382866,0.540513,0.375774,0.276658,0.41566699999999995,0.544174,0.6951519999999999,0.276134,0.303967,0.39676900000000004,0.537117,0.688203,0.3089,0.337841,0.360064,0.689268,0.8003579999999999,0.26588,0.372518,0.502783,0.525902,0.9803919999999999
193208,0.493739,0.946241,0.8288249999999999,0.838394,0.9951730000000001,0.343849,0.6701659999999999,0.564574,0.647279,0.899724,0.546427,0.398383,0.468716,0.699312,0.713004,0.2926,0.456137,0.642952,0.635623,0.86604,0.309847,0.35234099999999996,0.474756,0.529168,0.6534650000000001
193209,-0.271191,-0.11060299999999999,-0.16319299999999998,-0.045548000000000005,-0.17216599999999999,-0.007084,-0.063692,-0.054914,-0.09764099999999999,-0.125966,-0.052031,-0.078038,-0.028456000000000002,-0.11533500000000001,-0.09288500000000001,0.006432,-0.051215000000000004,-0.07716,-0.06890299999999999,-0.08904400000000001,0.0052049999999999996,-0.064901,-0.08494600000000001,-0.030991,0.155689
193210,-0.091645,-0.13177899999999998,-0.264345,-0.20361,-0.196691,-0.124439,-0.21980799999999998,-0.173273,-0.250179,-0.23263999999999999,-0.148172,-0.15884299999999998,-0.21287,-0.23462,-0.25748899999999997,-0.111205,-0.180685,-0.189983,-0.20351400000000003,-0.256917,-0.113353,-0.09796300000000001,-0.15335200000000002,-0.19895600000000002,-0.300518
