target,upper,lower,adj,mode,min_remain,init_wd,swr,success_rate,funded_ratio,eff_success,eff_funded,median_cew,p10_cew,p10_avg_wd,p50_avg_wd,p90_avg_wd,p90_max_drop,mean_years_below_floor,seed
0.75,0.9,0.2,0.2,amount,5,40450.0,0.04045,0.835,0.9838399999999999,0.709,0.9087999999999999,52341.7356768423,4.187099081864956e-09,26348.817054975683,78086.28718515948,274910.06991447107,1.0,4.2835,42
0.75,0.9,0.2,0.2,amount,10,40450.0,0.04045,0.889,0.98585,0.731,0.90827,53522.39423577753,8.457940145366338e-09,25934.682792104697,73988.09677842987,251553.34095452016,1.0,4.3915,42
0.75,0.9,0.2,0.2,success_rate,1,40450.0,0.04045,0.9915,0.9995,0.7575,0.89189,56095.16900910437,23223.15889795985,28900.17129274734,83311.52785728479,299261.7538689547,0.5000758665053294,3.815,42
0.75,0.9,0.2,0.2,success_rate,3,40450.0,0.04045,0.9945,0.9995599999999999,0.7475,0.8916900000000001,55559.697612372154,23104.95729094064,28357.378188684193,80954.45966446928,282601.983540193,0.6121057478721115,3.9105,42
0.75,0.9,0.2,0.2,success_rate,5,40450.0,0.04045,0.9955,0.99959,0.7345,0.89098,55529.32053461855,22742.972332327252,27964.192785813182,78986.80521527946,270101.5518603438,0.5558065863073125,3.993,42
0.75,0.9,0.2,0.2,success_rate,10,40450.0,0.04045,0.9965,0.9996700000000001,0.7195,0.8885700000000001,54935.43748066837,22137.593758315055,27380.05722163201,74534.88614716445,244790.9330505748,0.4992001321612065,4.2285,42
0.75,0.9,0.2,0.25,amount,1,40450.0,0.04045,0.8695,0.99043,0.723,0.90577,53194.372915772285,8.457940145366252e-09,27542.94156290407,81413.33266537866,292918.6325049717,1.0,4.1235,42
0.75,0.9,0.2,0.25,amount,3,40450.0,0.04045,0.8715,0.9904700000000001,0.7225,0.90576,53160.786198858215,8.457940145366278e-09,27198.483548615557,79790.41851526138,283073.2236834539,1.0,4.154,42
0.75,0.9,0.2,0.25,amount,5,40450.0,0.04045,0.8875,0.9909000000000001,0.7245,0.9057000000000001,53626.26810604507,8.457940145366884e-09,26996.70469786596,77651.85772430222,272072.26898348256,1.0,4.1915,42
0.75,0.9,0.2,0.25,amount,10,40450.0,0.04045,0.9385,0.99278,0.7285,0.9045599999999999,54019.68065191452,15424.582669269439,26384.593372706295,73140.56574557912,246677.55597190405,0.22368981645498215,4.359,42
0.75,0.9,0.2,0.25,success_rate,1,40450.0,0.04045,0.9905,0.99937,0.756,0.8892,56109.58441248436,23418.307941156945,29339.163244547308,83275.2634108775,296237.76652242645,0.4969557273120717,3.696,42
0.75,0.9,0.2,0.25,success_rate,3,40450.0,0.04045,0.9945,0.9994500000000001,0.7445,0.88897,55655.53465456966,23236.72561048992,28586.548520374363,80519.51995956441,278136.63946039596,0.6218829348656096,3.8,42
0.75,0.9,0.2,0.25,success_rate,5,40450.0,0.04045,0.9945,0.9994500000000001,0.731,0.8881999999999999,55542.67034066165,22844.070928488964,28200.160199695394,78777.41188382494,268354.0291171568,0.5517309474309723,3.891,42
0.75,0.9,0.2,0.25,success_rate,10,40450.0,0.04045,0.999,0.99992,0.716,0.88597,54834.12189575222,22240.270776631634,27558.546094712743,74253.88836668289,243567.0665808731,0.5042448468700101,4.122,42
