target,upper,lower,adj,mode,min_remain,init_wd,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,mean_years_below_floor,passes_eff_sr,passes_p10_wd,passes_years_below,gating_pass
0.75,0.9,0.2,0.05,amount,1,42186.04651162791,0.04218604651162791,0.724,0.723,0.91469,55191.19444500422,22508.668821946776,4.297,False,False,True,False
0.75,0.9,0.2,0.05,amount,3,42186.04651162791,0.04218604651162791,0.724,0.723,0.91469,55148.59944761824,22508.668821946776,4.297,False,False,True,False
0.75,0.9,0.2,0.05,amount,5,42186.04651162791,0.04218604651162791,0.7265,0.7255,0.91474,55190.39390766321,22508.668821946776,4.295,False,False,True,False
0.75,0.9,0.2,0.05,amount,10,42186.04651162791,0.04218604651162791,0.7295,0.727,0.9148900000000001,54922.75160471494,22508.668821946776,4.2905,False,False,True,False
0.75,0.9,0.2,0.05,success_rate,1,42186.04651162791,0.04218604651162791,0.982,0.7545,0.90256,58058.27270665072,27447.746115335358,4.255,False,True,True,False
0.75,0.9,0.2,0.05,success_rate,3,42186.04651162791,0.04218604651162791,0.991,0.748,0.9024300000000001,57777.992090260115,27118.75722358304,4.323,False,True,True,False
0.75,0.9,0.2,0.05,success_rate,5,42186.04651162791,0.04218604651162791,0.994,0.7425,0.90199,57799.78249304672,26939.636479990764,4.372,False,True,True,False
0.75,0.9,0.2,0.05,success_rate,10,42186.04651162791,0.04218604651162791,0.995,0.7415,0.9010499999999999,57334.65185200543,26520.14012886578,4.458,False,True,True,False
0.75,0.9,0.2,0.1,amount,1,42186.04651162791,0.04218604651162791,0.712,0.69,0.9111800000000001,54495.09220631909,24616.6361430012,4.476,False,False,True,False
0.75,0.9,0.2,0.1,amount,3,42186.04651162791,0.04218604651162791,0.712,0.6895,0.91117,54454.33151569497,24580.158184317774,4.48,False,False,True,False
0.75,0.9,0.2,0.1,amount,5,42186.04651162791,0.04218604651162791,0.718,0.6935,0.91126,54737.68187178754,24580.158184317774,4.481,False,False,True,False
0.75,0.9,0.2,0.1,amount,10,42186.04651162791,0.04218604651162791,0.7385,0.71,0.9116500000000001,54938.15281372372,24580.158184317774,4.4875,False,False,True,False
0.75,0.9,0.2,0.1,success_rate,1,42186.04651162791,0.04218604651162791,0.9855,0.7535,0.8971899999999999,59104.28367502112,28857.042389348586,4.0875,False,True,True,False
0.75,0.9,0.2,0.1,success_rate,3,42186.04651162791,0.04218604651162791,0.993,0.7475,0.8970699999999999,58877.50343981679,28413.884070821285,4.169,False,True,True,False
0.75,0.9,0.2,0.1,success_rate,5,42186.04651162791,0.04218604651162791,0.994,0.7385,0.8966300000000001,58905.722080611085,28192.376925059292,4.2255,False,True,True,False
0.75,0.9,0.2,0.1,success_rate,10,42186.04651162791,0.04218604651162791,0.9945,0.733,0.89509,58229.401879251396,27382.12435712314,4.385,False,True,True,False
0.75,0.9,0.2,0.15,amount,1,42186.04651162791,0.04218604651162791,0.7385,0.678,0.90879,53665.76207888946,26313.963069783687,4.4165,False,True,True,False
0.75,0.9,0.2,0.15,amount,3,42186.04651162791,0.04218604651162791,0.741,0.6795,0.90882,53804.23321568601,26284.09378056376,4.4265,False,True,True,False
0.75,0.9,0.2,0.15,amount,5,42186.04651162791,0.04218604651162791,0.7575,0.688,0.9089200000000001,54142.35762084252,26187.662037980976,4.4355,False,True,True,False
0.75,0.9,0.2,0.15,amount,10,42186.04651162791,0.04218604651162791,0.8065,0.7155,0.90927,55652.72609659957,25850.740051595054,4.4675,False,True,True,False
0.75,0.9,0.2,0.15,success_rate,1,42186.04651162791,0.04218604651162791,0.988,0.7465,0.88952,59452.14373619377,29474.033266529095,4.0015,False,True,True,False
0.75,0.9,0.2,0.15,success_rate,3,42186.04651162791,0.04218604651162791,0.994,0.7375,0.8893400000000001,59134.455082319575,28894.72409344991,4.091,False,True,True,False
0.75,0.9,0.2,0.15,success_rate,5,42186.04651162791,0.04218604651162791,0.995,0.728,0.8888900000000001,58922.471440601454,28496.654445047185,4.1525,False,True,True,False
0.75,0.9,0.2,0.15,success_rate,10,42186.04651162791,0.04218604651162791,0.9955,0.719,0.8871400000000002,58290.23958152524,27883.51746755071,4.36,False,True,True,False
0.75,0.9,0.2,0.2,amount,1,42186.04651162791,0.04218604651162791,0.7945,0.6915,0.90637,54404.40026053714,27719.847019935438,4.335,False,True,True,False
0.75,0.9,0.2,0.2,amount,3,42186.04651162791,0.04218604651162791,0.798,0.6925,0.9063899999999999,54419.64535285764,27476.604081000394,4.3565,False,True,True,False
0.75,0.9,0.2,0.2,amount,5,42186.04651162791,0.04218604651162791,0.8165,0.6995,0.90648,54856.66864383963,27330.16710460428,4.377,False,True,True,False
0.75,0.9,0.2,0.2,amount,10,42186.04651162791,0.04218604651162791,0.8775,0.7215,0.90625,56234.964135923205,26856.714924516647,4.4665,False,True,True,False
