target,upper,lower,adj,mode,min_remain,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,init_wd,alloc,years,with_cfs,floor,env
0.85,0.9,0.8,0.15,success_rate,3,0.04081250000000001,0.9935,0.919,0.97235,58828.19998127065,36626.867643944446,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.25,amount,5,0.04081250000000001,0.953,0.9035,0.9795833333333333,58884.48051476687,35662.55911325232,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.7,0.15,success_rate,5,0.04081250000000001,0.9935,0.9035,0.9710833333333334,58676.82200091181,35543.45433534084,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.5,0.2,success_rate,3,0.04081250000000001,0.9935,0.912,0.9707666666666667,59002.37094484898,36514.5014032603,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.2,0.15,success_rate,1,0.04081250000000001,0.991,0.9055,0.9708833333333334,59185.78248812705,36612.340400506044,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.8,0.15,success_rate,5,0.04081250000000001,0.9935,0.907,0.9715499999999999,58451.42451100702,35645.02053499224,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.5,0.25,success_rate,5,0.04081250000000001,0.9935,0.9,0.969,58695.77134538649,35590.83178107162,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.7,0.25,success_rate,1,0.04081250000000001,0.9915,0.9215,0.9692166666666667,59345.05298225883,38531.369053198636,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.7,0.2,success_rate,10,0.04081250000000001,1.0,0.8895,0.9671333333333334,56979.36175568191,33881.50747171689,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.5,0.2,success_rate,5,0.04081250000000001,0.9935,0.899,0.9698666666666667,58434.717876502065,35434.403808784926,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.1,success_rate,1,0.04081250000000001,0.9925,0.914,0.97245,59058.726069843535,37147.01472430328,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.7,0.25,success_rate,3,0.04081250000000001,0.9935,0.92,0.9691666666666667,58890.23692623695,36856.84507492441,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.25,amount,10,0.04081250000000001,0.9815,0.904,0.9780166666666666,57451.88333358754,34125.59857222272,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.5,0.15,success_rate,1,0.04081250000000001,0.9915,0.9215,0.9723833333333334,59024.87423187903,37528.274461126624,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.1,success_rate,3,0.04081250000000001,0.9945,0.905,0.9721500000000001,58661.220127653665,36100.585581685,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.7,0.25,success_rate,5,0.04081250000000001,0.9935,0.907,0.9684166666666667,58184.6908897437,35869.05948244785,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.7,0.2,success_rate,1,0.04081250000000001,0.9915,0.9245,0.9713833333333335,59193.50116527791,38285.303060230144,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.7,0.25,amount,1,0.04081250000000001,0.958,0.915,0.9793333333333335,59224.56848303236,37643.33789740459,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.2,0.15,success_rate,3,0.04081250000000001,0.993,0.8905,0.9703833333333334,58792.25417696983,35813.478096182276,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.8,0.99,0.5,0.1,amount,1,0.04531249999999999,0.876,0.872,0.9745666666666666,55357.816030968446,34699.11077171469,45312.49999999999,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
